,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
Oboz Sawtooth II Mid B-Dry Waterproof Light Trail Shoes - Men's,Oboz,199.95,0,4.2,4,camping-and-hiking,2020-10-17
Black Diamond Storm 400 Headlamp,Black Diamond,59.95,0,1,3,camping-and-hiking,2020-10-17
Patagonia Nano Puff Vest - Men's,Patagonia,189,0,5,1,camping-and-hiking,2020-10-17
Scarpa ZG Lite Gore-Tex Hiking Boots - Men's,Scarpa,249.95,0,5,2,camping-and-hiking,2020-10-17
Deuter Kid Comfort Active Carrier - Infants,Deuter,359.95,0,4.2,9,camping-and-hiking,2020-10-17
Patagonia Lightweight Synchilla Snap-Tee Pullover - Men's,Patagonia,149,0,5,3,camping-and-hiking,2020-10-17
Cotopaxi Teca Half-Zip Windbreaker - Unisex,Cotopaxi,109.95,50,0,0,camping-and-hiking,2020-10-17
Osprey Aura 65 AG Pack - Women's,Osprey,339.95,0,5,1,camping-and-hiking,2020-10-17
Salomon OUTline Gore-Tex Light Trail Shoes - Women's,Salomon,159.95,0,4.6,19,camping-and-hiking,2020-10-17
Luminaid Packlite Max USB+Phone Charger Lantern,Luminaid,49.95,0,4.6,1227,camping-and-hiking,2020-10-17
Darn Tough Midweight Hiker Boot Socks - Unisex,Darn Tough,32.95,0,4.8,21,camping-and-hiking,2020-10-17
Honey Stinger Organic Energy Chews Fruit Smoothie,Honey Stinger,2.6,0,5,8,camping-and-hiking,2020-10-17
MEC Pack Rat Compression Stuff Sack,MEC,25.95,0,4.3,36,camping-and-hiking,2020-10-17
Patagonia Quandary Pants - Men's,Patagonia,99,0,4.5,4,camping-and-hiking,2020-10-17
Salomon OUTward Gore-Tex Hiking Boots - Men's,Salomon,229.95,0,3,3,camping-and-hiking,2020-10-17
MEC Centaurus -18C Sleeping Bag - Unisex,MEC,249.95,0,0,0,camping-and-hiking,2020-10-17
MEC Scout Tarp,MEC,69.95,0,5,3,camping-and-hiking,2020-10-17
Honey Stinger Organic Energy Chews Pink Lemonade,Honey Stinger,2.6,0,4,1,camping-and-hiking,2020-10-17
Aeropress Coffee & Espresso Maker,Aeropress,44,0,4.5,51,camping-and-hiking,2020-10-17
Nalgene Everyday Wide-Mouth Water Bottle 1.4L,Nalgene,16.95,0,4.7,15,camping-and-hiking,2020-10-17
Ritter Sport Peppermint Chocolate Bar,Ritter Sport,2.95,0,5,3,camping-and-hiking,2020-10-17
Nuun Sport Electrolyte Replacement Tablets Tri Berry,Nuun,8.95,0,3.9,8,camping-and-hiking,2020-10-17
