,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
Vuori Ponto Performance Pullover - Men's,Vuori,135.95,0,0,0,clothing,2020-10-17
Patagonia P-6 Logo Long Sleeve Responsibili-Tee - Men's,Patagonia,55,0,0,0,clothing,2020-10-17
Fjallraven High Coast Lite Sweater - Men's,Fjallraven,119.95,0,0,0,clothing,2020-10-17
Xcel Signature Ventx Long Sleeve - Men's,Xcel,37.94,31,4.5,4,clothing,2020-10-17
Black Diamond Notion Shorts - Men's,Black Diamond,84.95,41,4,4,clothing,2020-10-17
MEC Sun Dodger Short Sleeve Hiking Shirt - Men's,MEC,24.94,64,3.7,7,clothing,2020-10-17
DU/ER No Sweat Pants Slim - Men's,DU/ER,138.95,0,3,2,clothing,2020-10-17
MEC Mochilero Shorts - Men's,MEC,64.95,0,4.6,5,clothing,2020-10-17
The North Face Tekno Ridge Hoodie - Men's,The North Face,99.93,38,4,1,clothing,2020-10-17
The North Face Paramount Active Convertible Pants - Men's,The North Face,79.97,20,0,0,clothing,2020-10-17
Patagonia Performance Twill Jeans - Men's,Patagonia,125,0,2.4,5,clothing,2020-10-17
Smartwool Merino 150 Boxer Briefs - Men's,Smartwool,59.95,0,3.4,38,clothing,2020-10-17
The North Face Goldmill Parka - Men's,The North Face,349.99,0,5,1,clothing,2020-10-17
BN3TH Classic Boxer Briefs - Men's,BN3TH,34.95,0,5,3,clothing,2020-10-17
The North Face Dryzzle Futurelight Jacket - Men's,The North Face,279.99,0,5,2,clothing,2020-10-17
Arc'teryx Cormac Logo Short Sleeve Tee - Men's,Arc'teryx,74.95,0,5,3,clothing,2020-10-17
Vuori Strato Tech T-Shirt - Men's,Vuori,53.95,0,0,0,clothing,2020-10-17
Black Diamond Chalked Up T-Shirt - Men's,Black Diamond,38.95,0,2.6,5,clothing,2020-10-17
Patagonia Insulated Quandary Jacket - Men's,Patagonia,375,0,5,1,clothing,2020-10-17
Prana Prevailor Long Sleeve - Men's,Prana,59.97,20,0,0,clothing,2020-10-17
MEC Peak Comfort AirGrid Lite Short Sleeve Base Layer - Men's,MEC,29.95,0,0,0,clothing,2020-10-17
Race Face Agent Winter Pants - Men's,Race Face,189.95,0,1,1,clothing,2020-10-17
Houdini Daybreak Jacket - Men's,Houdini,149.93,50,0,0,clothing,2020-10-17
Patagonia Micro D Snap-T Pullover - Men's,Patagonia,109,0,5,1,clothing,2020-10-17
Patagonia Back Step Shirt - Men's,Patagonia,85,0,5,1,clothing,2020-10-17
