,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Date_retrieved
MPG Willow 2.0 Drape Front Cardigan - Women's,MPG,31.93,51,3.7,3,clothing,2020-10-17
MEC Cozy Knit Toque - Women's,MEC,15.99,36,5,2,clothing,2020-10-17
Patagonia Quandary Pants - Women's,Patagonia,99,0,4.6,7,clothing,2020-10-17
Smartwool Ethno Graphic Crew Socks - Women's,Smartwool,24.95,0,4.2,21,clothing,2020-10-17
Tentree Juniper Classic T-Shirt - Women's,Tentree,39.95,0,5,2,clothing,2020-10-17
Picture Mineral Jacket - Women's,Picture,149.93,50,0,0,clothing,2020-10-17
Darn Tough Stripes Hiker Micro Crew Cushion Socks - Women's,Darn Tough,28.95,0,0,0,clothing,2020-10-17
Fjallraven Abisko Trail Tights - Women's,Fjallraven,184.95,0,5,1,clothing,2020-10-17
Darn Tough Treeline Cushion Micro Crew Socks - Women's,Darn Tough,29.95,0,0,0,clothing,2020-10-17
Coal Pearl Toque - Women's,Coal,41.95,0,0,0,clothing,2020-10-17
Kombi P1 Liner Glove - Women's,Kombi,19.95,0,0,0,clothing,2020-10-17
Darn Tough Solid Basic Crew Light Socks - Women's,Darn Tough,27.95,0,0,0,clothing,2020-10-17
MEC Core Train Short Sleeve T-Shirt - Women's,MEC,39.95,0,4.2,6,clothing,2020-10-17
Injinji Trail Midweight Crew Coolmax Socks - Women's,Injinji,26.95,0,4,4,clothing,2020-10-17
MEC Peak Comfort AirGrid Warm Long Sleeve Baselayer - Women's,MEC,64.95,0,0,0,clothing,2020-10-17
Heat Holders Original Cream Block Twist Crew Socks - Women's,Heat Holders,15.99,0,0,0,clothing,2020-10-17
The North Face Get Out There Pullover - Women's,The North Face,89.59,44,0,0,clothing,2020-10-17
Suncloud Loveseat Polarized Sunglasses - Women's,Suncloud,59.95,0,3.8,5,clothing,2020-10-17
Indygena Effie Anorak - Women's,Indygena,109.93,54,0,0,clothing,2020-10-17
Kari Traa Dekorativ Hipster (2 Pack) - Women's,Kari Traa,39.95,0,5,1,clothing,2020-10-17
Prana Halle Pants - Regular Inseam - Women's,Prana,75.97,20,4.6,119,clothing,2020-10-17
Prana Oday Jeans - Women's,Prana,49.93,50,2,1,clothing,2020-10-17
Darn Tough Vertex Quarter Ultralight Cushion Socks - Women's,Darn Tough,23.95,0,5,2,clothing,2020-10-17
Arc'teryx Zeta SL Gore-Tex Jacket - Women's,Arc'teryx,379.95,0,4.9,19,clothing,2020-10-17
MEC Classic Stretch Tank - Women's,MEC,17.95,0,4,4,clothing,2020-10-17
Patagonia Organic Cotton Quilt Snap-T Pullover - Women's,Patagonia,189,0,4.9,8,clothing,2020-10-17
The North Face Paramount Active Convertible Mid-Rise Pants - Women's,The North Face,79.97,60,5,1,clothing,2020-10-17
"Patagonia Quandary 7"" Shorts - Women's",Patagonia,75,0,5,1,clothing,2020-10-17
MEC All Day Essentials Seamless Scoop Bra - Women's,MEC,34.95,0,3.7,11,clothing,2020-10-17
Patagonia Down Sweater Vest - Women's,Patagonia,225,0,0,0,clothing,2020-10-17
Patagonia Capilene Air Hoody - Women's,Patagonia,189,0,5,3,clothing,2020-10-17
Smartwool Margarita Crew Socks - Women's,Smartwool,24.95,0,4.6,76,clothing,2020-10-17
Patagonia Stand Up Cropped Pants - Women's,Patagonia,69.3,30,5,3,clothing,2020-10-17
MEC All Day Essentials Merino Lite Turtleneck - Women's,MEC,79.95,0,0,0,clothing,2020-10-17
Darn Tough Greta Crew Light Socks - Women's,Darn Tough,27.95,0,0,0,clothing,2020-10-17
Lenz Heat Mitts 4.0 (Batteries Sold Separately) - Women's,Lenz,299.95,0,0,0,clothing,2020-10-17
Outdoor Research Melody Beanie - Women's,Outdoor Research,29.95,0,3.5,2,clothing,2020-10-17
Arc'teryx Cerium LT Hoody - Women's,Arc'teryx,449.95,0,3.9,54,clothing,2020-10-17
Pearl Izumi Vista Pants - Women's,Pearl Izumi,87.93,50,0,0,clothing,2020-10-17
Xcel Heathered VentX Solid Long Sleeve Top - Women's,Xcel,37.94,31,5,1,clothing,2020-10-17
Indygena Esi Romper - Long - Women's,Indygena,89.94,50,5,1,clothing,2020-10-17
Prana Beryiessa Culotte - Women's,Prana,50.94,51,3,2,clothing,2020-10-17
Patagonia Skyline Traveller Shorts - Women's,Patagonia,55.3,30,3.5,4,clothing,2020-10-17
Darn Tough Hiker Cushion Micro Crew Socks - Women's,Darn Tough,29.95,0,0,0,clothing,2020-10-17
Kari Traa Lokke Long Sleeve - Women's,Kari Traa,134.95,0,5,2,clothing,2020-10-17
Patagonia Lined Happy Hike Studio Pants - Women's,Patagonia,87.5,30,4.8,4,clothing,2020-10-17
The North Face Mountain Sweatshirt Pullover Anorak 3.0 - Women's,The North Face,86.93,49,5,1,clothing,2020-10-17
Indygena Liike III Dress - Women's,Indygena,59.93,50,5,1,clothing,2020-10-17
Armada Haven Pants - Women's,Armada,34.93,50,1,1,clothing,2020-10-17
Indygena Pecora Fleece Pullover - Women's,Indygena,189.95,0,5,2,clothing,2020-10-17
Indygena Maeto II Pants - Women's,Indygena,119.95,40,5,2,clothing,2020-10-17
MEC Gateway Lead Tights - Women's,MEC,64.95,0,3.9,10,clothing,2020-10-17
Kari Traa Ane Jacket - Women's,Kari Traa,59.93,50,0,0,clothing,2020-10-17
Organic Basics Organic Bikini Briefs (2 Pack) - Women's,Organic Basics,34.95,0,4,3,clothing,2020-10-17
MPG Coast Hoodie - Women's,MPG,49.95,0,0,0,clothing,2020-10-17
MEC Lucid Sunglasses - Women's,MEC,39.95,0,3.3,3,clothing,2020-10-17
The North Face Superlu Jacket - Women's,The North Face,249.99,0,5,1,clothing,2020-10-17
MEC Voyager Reversible 1/4 Zip - Women's,MEC,84.95,0,0,0,clothing,2020-10-17
MPG Tranquil Culotte - Women's,MPG,29.93,50,3,2,clothing,2020-10-17
B Daehlie North Jacket - Women's,B Daehlie,179.95,0,0,0,clothing,2020-10-17
The North Face Freedom Insulated Pants - Women's,The North Face,199.99,0,0,0,clothing,2020-10-17
Coal The Morgan Beanie - Women's,Coal,18.46,44,0,0,clothing,2020-10-17
TYR Maxfit - Women's,TYR,49.95,0,4.8,4,clothing,2020-10-17
Darn Tough Rubic Shorty Socks - Women's,Darn Tough,22.95,0,5,1,clothing,2020-10-17
MEC Cozy Mitts - Women's,MEC,24.95,0,0,0,clothing,2020-10-17
MPG Mudra Sweatshirt - Women's,MPG,59.95,0,0,0,clothing,2020-10-17
Smartwool Merino Sport Ultra Light Hoodie - Women's,Smartwool,89.94,40,0,0,clothing,2020-10-17
