,Brand,Current_price,Discount,Avg_review_outof5,Num_reviews,Product_category,Subcategory,Date_retrieved
SEA TO SUMMIT Alpha Light Long Handled Spoon,SEA,11.95,0,5.0,1,camping-and-hiking,kitchen-and-hydration,2020-10-20
MSR Alpine StowAway Pot,MSR,33.95,0,4.5,10,camping-and-hiking,kitchen-and-hydration,2020-10-20
MSR Alpine 4 Pot Set,MSR,99.95,0,4.6,13,camping-and-hiking,kitchen-and-hydration,2020-10-20
GU Roctane Blueberry Pomegranate Gel,GU,3.50,0,0.0,0,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nomad Nutrition Indian Red Lentil Stew 56g,Nomad Nutrition,8.00,0,4.2,17,camping-and-hiking,kitchen-and-hydration,2020-10-20
Nalgene Wide-Mouth HDPE Water Bottle,Nalgene,5.95,0,4.4,8,camping-and-hiking,kitchen-and-hydration,2020-10-20
Saltstick Caps Electrolyte Replenisher,Saltstick,29.95,0,5.0,11,camping-and-hiking,kitchen-and-hydration,2020-10-20
LifeStraw Water Filter,LifeStraw,25.95,0,3.9,57,camping-and-hiking,kitchen-and-hydration,2020-10-20
Wacaco Nanopresso Portable Espresso Machine,Wacaco,94.95,0,4.8,6,camping-and-hiking,kitchen-and-hydration,2020-10-20
AlpineAire Chicken Gumbo,AlpineAire,12.75,0,2.8,9,camping-and-hiking,kitchen-and-hydration,2020-10-20
Mountain Thins Dark Chocolate Wild Berry,Mountain Thins,6.00,0,0.0,0,camping-and-hiking,kitchen-and-hydration,2020-10-20
SEA TO SUMMIT Kitchen Sink,SEA,32.95,0,4.8,4,camping-and-hiking,kitchen-and-hydration,2020-10-20
MSR XGK EX Stove,MSR,199.95,0,4.8,36,camping-and-hiking,kitchen-and-hydration,2020-10-20
LifeStraw Personal Water Filter,LifeStraw,25.95,0,3.8,44,camping-and-hiking,kitchen-and-hydration,2020-10-20
